,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,MAE,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,drug_conc_Hill,peak_current,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,MAE,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_22,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29
0,76.0,0.0,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,31.6227766016838,1.0,0.975335181937285,0.926141754034729,0.798863089034746,0.559959199740798,0.302377083976195,0.14341705606579,0.062430305504487,0.022567527466452,0.005941002174088,0.0,0.930199240889348,0.052817842096047,-179.55,55.84,4.61760721271691e-05,1.0,1.0,0.001,0.001725210549942,0.002976351441631,0.005134832907438,0.008858667904101,0.015283067326588,0.026366508987304,0.045487779470038,0.078475997035146,0.135387618002254,0.233572146909012,0.40296113202004,0.695192796177561,1.19935394620923,2.06913808111479,3.56969884682606,6.15848211066026,10.6246783089404,18.3298071083243,31.6227766016838,278.7,280.4,283.2,288.0,296.1,309.4,330.4,361.8,404.9,457.8,515.5,571.2,619.9,658.8,687.4,706.7,719.4,1000.0,1000.0,1000.0,280.9,283.8,288.5,296.1,307.7,325.3,350.3,384.1,426.4,476.1,530.6,587.4,644.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,15.90464373407,14.1923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,376.0,0.0,1e-09,3.16227766016838e-09,1e-08,3.16227766016838e-08,1e-07,3.16227766016838e-07,1e-06,3.16227766016838e-06,1e-05,3.16227766016838e-05,1.0,0.986693788408176,0.959414273079257,0.884052425899012,0.719358151621679,0.495590486926341,0.328901158432558,0.228049610726413,0.14251363621839,0.063196804376026,0.01726156250913,0.682744809102287,1.96248144061803e-05,-189.525,37350000.0,4.61760721271691e-05,1.0,1.0,1e-09,3.35981828628379e-09,1.12883789168469e-08,3.79269019073225e-08,1.27427498570313e-07,4.2813323987194e-07,1.43844988828766e-06,4.83293023857175e-06,1.62377673918872e-05,5.45559478116851e-05,0.000183298071083,0.000615848211066,0.002069138081115,0.006951927961776,0.023357214690901,0.078475997035146,0.263665089873035,0.885866790410083,2.97635144163131,10.0,277.9,281.6,293.4,329.8,420.7,570.8,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,281.8,288.4,302.5,330.5,379.1,450.5,537.9,631.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,52.1973817989626,30.4,0.0001,0.000316227766017,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,0.00333090038554,0.000596891037718,0.000109105145944,2.196773353866e-05,5.26748422554937e-06,1.48291916100607e-06,4.47006413749134e-07,1.36410347351781e-07,3.99267697940096e-08,9.5917327494702e-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,436.0,0.0,3.16227766016838e-10,1e-09,3.16227766016838e-09,1e-08,3.16227766016838e-08,1e-07,3.16227766016838e-07,1e-06,3.16227766016838e-06,1e-05,1.0,0.98869951966623,0.965364812036341,0.899668563284009,0.749118768202203,0.526769882584293,0.347285206465095,0.240741320370492,0.154967515715838,0.073203544955186,0.021416304595325,0.683302701567827,9.9223897060114e-06,-189.525,100000000.0,4.61760721271691e-05,1.0,1.0,3.16227766016838e-10,1.12883789168469e-09,4.0296113202004e-09,1.43844988828766e-08,5.13483290743756e-08,1.83298071083244e-07,6.54318912971297e-07,2.33572146909012e-06,8.3378222347179e-06,2.97635144163132e-05,0.000106246783089,0.000379269019073,0.001353876180023,0.004832930238572,0.01725210549942,0.061584821106603,0.219839264886229,0.784759970351462,2.80135676119887,10.0,277.7,281.1,292.7,330.5,428.7,589.4,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,281.2,287.6,301.8,330.9,383.0,459.8,553.1,651.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,56.3058907516197,32.4666666666667,3.16227766016838e-05,0.0001,0.000316227766017,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,0.004268252220229,0.000764625511796,0.000139044435878,2.73566715673567e-05,6.38957505469086e-06,1.76980796120913e-06,5.32370747780182e-07,1.6449561475946e-07,5.06586226982057e-08,1.48658468964938e-08,3.56986135395189e-09,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,522.0,0.0,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,31.6227766016838,1.0,0.98532207019865,0.955109613666515,0.870816849907765,0.681256763510098,0.403735800946774,0.175748199514409,0.061872130515999,0.018985892079648,0.00462215710604,0.0,1.00225539715354,0.06711807405391,-199.5,30.0,0.16753230136305,1.0,1.0,0.001,0.001725210549942,0.002976351441631,0.005134832907438,0.008858667904101,0.015283067326588,0.026366508987304,0.045487779470038,0.078475997035146,0.135387618002254,0.233572146909012,0.40296113202004,0.695192796177561,1.19935394620923,2.06913808111479,3.56969884682606,6.15848211066026,10.6246783089404,18.3298071083243,31.6227766016838,279.1,281.0,284.2,289.8,299.0,314.2,338.0,373.2,420.7,477.4,535.9,589.4,634.0,668.4,693.1,709.6,1000.0,1000.0,1000.0,1000.0,278.6,280.1,282.8,287.3,294.8,306.8,325.5,353.0,390.5,437.9,493.2,553.0,614.6,675.9,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,21.874822448259,16.0928571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,639.0,0.0,1e-09,3.16227766016838e-09,1e-08,3.16227766016838e-08,1e-07,3.16227766016838e-07,1e-06,3.16227766016838e-06,1e-05,3.16227766016838e-05,1.0,0.972543753572306,0.918141254058464,0.780494376268406,0.529862863733169,0.262311112629808,0.099495672199258,0.033095981738581,0.01067688836494,0.003096465536185,0.000901024669691,1.00246385395586,3.40715621346172e-08,-199.5,61114646.3623901,0.03866,1.0,1.0,1e-09,3.35981828628379e-09,1.12883789168469e-08,3.79269019073225e-08,1.27427498570313e-07,4.2813323987194e-07,1.43844988828766e-06,4.83293023857175e-06,1.62377673918872e-05,5.45559478116851e-05,0.000183298071083,0.000615848211066,0.002069138081115,0.006951927961776,0.023357214690901,0.078475997035146,0.263665089873035,0.885866790410083,2.97635144163131,10.0,281.4,293.1,330.0,425.8,576.3,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,280.5,289.8,317.5,384.0,497.0,632.4,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,40.5059995556214,27.56,0.0001,0.000316227766017,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,0.000273864811059,8.55803823696544e-05,2.69957966161714e-05,8.53064175367038e-06,2.69773079990538e-06,8.50928959615763e-07,2.67177248009048e-07,8.26499650850839e-08,2.42603785687858e-08,5.80913362708148e-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,748.0,0.0,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,31.6227766016838,1.0,0.985318579438093,0.955112609650637,0.870857704966395,0.681291002349372,0.403763406082482,0.175791382003406,0.061875743583237,0.018985990004888,0.004638991879178,0.0,1.00226230009464,0.067128591309086,-209.475,30.0,0.217202891472087,1.0,1.0,0.001,0.001725210549942,0.002976351441631,0.005134832907438,0.008858667904101,0.015283067326588,0.026366508987304,0.045487779470038,0.078475997035146,0.135387618002254,0.233572146909012,0.40296113202004,0.695192796177561,1.19935394620923,2.06913808111479,3.56969884682606,6.15848211066026,10.6246783089404,18.3298071083243,31.6227766016838,279.1,281.0,284.3,289.8,299.1,314.3,338.1,373.4,420.8,477.4,535.9,589.4,634.0,668.4,693.1,709.6,1000.0,1000.0,1000.0,1000.0,278.6,280.1,282.8,287.3,294.7,306.8,325.5,352.9,390.5,437.9,493.1,553.0,614.6,675.9,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,21.9283410876688,16.1642857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1084.0,0.0,1e-09,3.16227766016838e-09,1e-08,3.16227766016838e-08,1e-07,3.16227766016838e-07,1e-06,3.16227766016838e-06,1e-05,3.16227766016838e-05,1.0,0.985535855968191,0.959645955348386,0.896279449046823,0.770777274574472,0.580926351643187,0.355919674906032,0.158537529305761,0.047304637709969,0.010625480261764,0.002116047207414,0.844598547114872,1.66007572432431e-06,-219.45,61114646.3623901,0.0007927,1.0,1.0,1e-09,3.35981828628379e-09,1.12883789168469e-08,3.79269019073225e-08,1.27427498570313e-07,4.2813323987194e-07,1.43844988828766e-06,4.83293023857175e-06,1.62377673918872e-05,5.45559478116851e-05,0.000183298071083,0.000615848211066,0.002069138081115,0.006951927961776,0.023357214690901,0.078475997035146,0.263665089873035,0.885866790410083,2.97635144163131,10.0,279.0,285.2,305.4,367.2,520.2,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,278.6,282.5,292.9,318.4,372.0,460.0,570.6,685.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,70.0119704050672,42.52,0.0001,0.000316227766017,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,0.000429062801614,0.000102671864005,2.88129069653014e-05,8.71255981057074e-06,2.71380184401981e-06,8.52470458872997e-07,2.67328402899752e-07,8.26475242393983e-08,2.42942820498621e-08,5.8336745907881e-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1203.0,0.0,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,31.6227766016838,1.0,0.984336235547939,0.954800475508906,0.880587039765499,0.737278505564935,0.543338445205742,0.337016210298801,0.162939299988204,0.061811499699633,0.019673708952922,0.005031804022626,0.791858429788437,0.192824183760269,-100.0,55.84,0.000307287505116,1.0,1.0,0.001,0.001832980710832,0.003359818286284,0.00615848211066,0.011288378916847,0.020691380811148,0.037926901907323,0.069519279617756,0.127427498570313,0.233572146909012,0.428133239871939,0.784759970351461,1.43844988828766,2.63665089873036,4.83293023857175,8.85866790410082,16.2377673918872,29.7635144163132,54.5559478116851,100.0,278.8,280.8,284.4,290.9,302.3,322.0,353.9,401.7,465.2,539.1,613.9,678.5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,279.6,281.6,284.7,289.6,297.1,308.6,325.4,348.9,380.2,419.3,465.1,515.8,569.1,623.3,677.0,1000.0,1000.0,1000.0,1000.0,1000.0,78.5278719097027,51.6166666666667,100.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1430.0,0.0,0.001,0.003162277660168,0.01,0.031622776601684,0.1,0.316227766016838,1.0,3.16227766016838,10.0,,1.0,0.973011791732053,0.920249042504154,0.788178664956395,0.546224384064556,0.276980551668613,0.105420513943235,0.033715775272653,0.008466258681784,0.0,,0.996039318595784,0.038302249693809,-88.7325,55.84,0.01,1.0,1.0,0.001,0.001623776739189,0.00263665089873,0.004281332398719,0.006951927961776,0.011288378916847,0.018329807108324,0.029763514416313,0.048329302385718,0.078475997035146,0.127427498570313,0.206913808111479,0.335981828628378,0.545559478116851,0.885866790410082,1.43844988828766,2.33572146909012,3.79269019073225,6.15848211066026,10.0,280.7,283.3,287.6,294.5,305.6,323.1,350.0,388.9,439.6,497.5,555.6,609.3,656.4,695.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,280.4,282.8,286.6,292.6,301.8,315.6,335.5,362.7,398.0,440.8,489.6,542.2,596.4,650.9,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,38.1568473540464,27.9928571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
