,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,MAE,drug_conc_Hill,peak_current,drug_conc_Hill,peak_current
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,RMSE,MAE,conc_11,conc_11,conc_12,conc_12
0,17000.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,100.0,1.0,0.9773266602656018,0.9331394893408896,0.8207508360127026,0.6100099978876832,0.3641592993815425,0.1766305639983381,0.0693209203898699,0.0225651760072164,0.0055935344761491,0.0,0.8959281003076034,0.2046606034495863,-209.475,15.935291048150969,0.0001633741470951,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,278.5,280.0,282.5,286.8,293.90000000000003,305.40000000000003,323.3,349.3,383.6,423.6,464.30000000000007,500.4,528.8000000000001,549.2,562.7,571.3000000000001,576.5,579.7,581.5,582.6,583.6,583.9000000000001,584.1,584.1,584.1,584.1,584.1,584.1,584.1,584.1,280.5,283.1,287.20000000000005,293.6,303.5,318.3,339.5,368.5,405.7000000000001,450.4,500.80000000000007,554.5,609.6,664.5,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,43.30954200371354,29.29285714285714,,,,
0,17001.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,100.0,1.0,0.9787841894510232,0.9380409930349632,0.8349082746002335,0.639294691748723,0.3995153190330763,0.2004765400072953,0.0798135791578755,0.0260226812971924,0.0064637423332572,0.0,0.8796531485959359,0.2407665336776612,-209.475,15.935291048150969,0.0002240612046856,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,278.5,280.0,282.5,286.8,293.90000000000003,305.5,323.5,349.8,384.5,425.3,467.0,504.4,534.0,555.3000000000001,569.5,578.5,584.1,587.3000000000001,589.3000000000001,590.4000000000001,591.5,591.9000000000001,592.0,592.0,592.0,592.0,592.0,592.0,592.0,592.0,280.3,282.6,286.3,292.1,301.0,314.3,333.5,360.0,394.3,436.1,484.0,536.0,589.8000000000001,643.9000000000001,697.1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,44.06814420114982,26.053333333333345,,,,
0,17002.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,100.0,1.0,0.9799729584006236,0.9422009439443528,0.8472289020285291,0.6646609728619833,0.4288860618132308,0.2192011740083292,0.0876876139289325,0.0286396506328085,0.0070824652485461,0.0,0.8749615524971109,0.2713803455565339,-209.475,15.935291048150969,0.000307291112687,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,278.5,280.0,282.5,286.8,294.0,305.70000000000005,323.90000000000003,350.5,386.0,427.9,471.2000000000001,510.30000000000007,541.5,564.1,579.1,588.7,594.5,598.0,600.1,601.3000000000001,602.4000000000001,602.8000000000001,602.9000000000001,603.0,603.0,603.0,603.0,603.0,603.0,603.0,279.90000000000003,282.1,285.40000000000003,290.70000000000005,298.8,310.90000000000003,328.6,353.20000000000005,385.5,425.4,471.80000000000007,522.6,575.9000000000001,629.7,683.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,33.21599012523939,16.500000000000014,,,,
0,17003.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,100.0,1.0,0.980576991999643,0.9446945037069964,0.8551539529765261,0.6809746507076276,0.4466739804117012,0.2292159657487752,0.0914713236540877,0.0297942134389508,0.0074681987696313,0.0,0.8778413488520121,0.2891955458943419,-209.475,15.935291048150969,0.0004214376516851,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,278.5,280.0,282.6,286.90000000000003,294.20000000000005,306.0,324.5,351.70000000000005,388.1,431.7000000000001,477.2000000000001,518.7,551.9,575.8000000000001,591.7,601.7,607.8000000000001,611.5,613.6,614.9000000000001,616.0,616.4000000000001,616.5,616.6,616.6,616.6,616.6,616.6,616.6,616.6,279.70000000000005,281.6,284.8,289.70000000000005,297.3,308.8,325.6,349.1,380.4,419.4,465.2000000000001,515.8000000000001,568.9000000000001,623.0,676.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,25.98709936359449,13.426666666666671,,,,
0,17004.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,100.0,1.0,0.9805479057864293,0.9452026374485636,0.8577706808951139,0.686805795850526,0.451341125295261,0.2299665964411483,0.0908855846511841,0.0293890541070031,0.0072747761743905,0.0,0.8836650667618556,0.2918264321046657,-209.475,15.935291048150969,0.0005779851317689,1.0,1.0,0.0031622776601683,0.0054555947811685,0.0094120496726806,0.0162377673918872,0.0280135676119886,0.0483293023857175,0.0833782223471789,0.1438449888287662,0.2481628922836825,0.4281332398719391,0.7386199822079358,1.2742749857031337,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846884,19.47483039908755,33.59818286283781,57.96393953384961,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,278.5,280.1,282.70000000000005,287.1,294.5,306.5,325.40000000000003,353.40000000000003,391.4,437.3,485.80000000000007,530.0,565.1,589.9000000000001,606.1,616.1,622.2,625.8000000000001,627.9000000000001,629.1,630.3000000000001,630.7,630.8000000000001,630.8000000000001,630.9000000000001,630.9000000000001,630.9000000000001,630.9000000000001,630.9000000000001,630.9000000000001,279.5,281.40000000000003,284.5,289.3,296.70000000000005,308.0,324.6,348.0,379.1,418.2000000000001,464.1,514.9,568.4000000000001,622.8000000000001,676.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,22.142643624162567,12.753333333333346,,,,
0,17005.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,,1.0,0.9750823132429016,0.9251873406391457,0.7951415847423277,0.5458819397573266,0.2677403980126031,0.0995061971667,0.0313518759077047,0.007768115541593,0.0,,1.0282330416776748,0.1118315666383296,-209.475,15.935291048150969,2.268754480201686e-05,1.0,1.0,0.0031622776601683,0.0051348329074375,0.0083378222347178,0.0135387618002254,0.0219839264886228,0.0356969884682606,0.0579639395338496,0.0941204967268066,0.1528306732658768,0.2481628922836825,0.4029611320200399,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.6227766016838,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,278.5,279.8,281.90000000000003,285.20000000000005,290.40000000000003,298.5,310.8,328.5,352.5,382.6,416.6,451.0,482.30000000000007,508.0,527.6,541.5,550.9,557.1,561.1,563.6,566.4000000000001,567.3000000000001,567.6,567.7,567.7,567.7,567.7,567.7,567.7,567.7,280.0,282.20000000000005,285.8,291.6,300.70000000000005,314.5,334.70000000000005,362.7000000000001,399.2000000000001,443.7000000000001,494.5,549.0,605.2,661.3000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,66.73986279364296,47.0357142857143,,,,
0,17006.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,,1.0,0.9748172144244918,0.9245197043969204,0.7934035679238988,0.5435530037832954,0.266886350713192,0.100243124256194,0.0319847749295828,0.0079812564697942,0.0,,1.0243403395546442,0.111971221911245,-209.475,15.935291048150969,2.8752459474486523e-05,1.0,1.0,0.0031622776601683,0.0051348329074375,0.0083378222347178,0.0135387618002254,0.0219839264886228,0.0356969884682606,0.0579639395338496,0.0941204967268066,0.1528306732658768,0.2481628922836825,0.4029611320200399,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.6227766016838,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,278.5,279.8,281.8,285.20000000000005,290.40000000000003,298.5,310.70000000000005,328.40000000000003,352.40000000000003,382.5,416.6,451.1,482.5,508.4,528.0,542.0,551.5,557.7,561.7,564.2,567.1,568.0,568.3000000000001,568.4000000000001,568.4000000000001,568.4000000000001,568.4000000000001,568.4000000000001,568.4000000000001,568.4000000000001,280.0,282.3,286.0,291.90000000000003,301.0,314.90000000000003,335.1,363.2000000000001,399.7000000000001,444.1,494.7000000000001,549.1,605.0,660.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,66.68513970250689,47.22142857142858,,,,
0,17007.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,,1.0,0.974692255359266,0.923974613769172,0.7923023017397807,0.5424329531013525,0.2680487648056233,0.1023832429471459,0.0331576935203356,0.0082929592231949,0.0,,1.017633397284208,0.1135553117645407,-209.475,15.935291048150969,3.643866857547744e-05,1.0,1.0,0.0031622776601683,0.0051348329074375,0.0083378222347178,0.0135387618002254,0.0219839264886228,0.0356969884682606,0.0579639395338496,0.0941204967268066,0.1528306732658768,0.2481628922836825,0.4029611320200399,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.6227766016838,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,278.5,279.8,281.8,285.1,290.3,298.40000000000003,310.6,328.3,352.3,382.4,416.6,451.2000000000001,482.80000000000007,508.80000000000007,528.6,542.6,552.2,558.5,562.5,565.1,567.9000000000001,568.8000000000001,569.1,569.2,569.2,569.2,569.2,569.2,569.2,569.2,280.1,282.40000000000003,286.20000000000005,292.1,301.3,315.20000000000005,335.40000000000003,363.3,399.6,443.7000000000001,493.9,547.8000000000001,603.4000000000001,658.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,65.84460060302158,46.88571428571429,,,,
0,17008.0,0.0,0.0031622776601683,0.0099999999999999,0.0316227766016837,0.1,0.3162277660168379,1.0,3.1622776601683795,10.0,31.6227766016838,,1.0,0.974506612306248,0.923673335489098,0.7920059141252526,0.5431822211955385,0.2715574781124942,0.1063635390161363,0.0351070199019908,0.0088408390524578,0.0,,1.007527863727105,0.117040089957401,-209.475,15.935291048150969,4.617958226257796e-05,1.0,1.0,0.0031622776601683,0.0051348329074375,0.0083378222347178,0.0135387618002254,0.0219839264886228,0.0356969884682606,0.0579639395338496,0.0941204967268066,0.1528306732658768,0.2481628922836825,0.4029611320200399,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.6227766016838,100.0,316.227766016838,1000.0,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000004,316227.766016838,1000000.0000000003,3162277.6601683805,278.5,279.8,281.8,285.1,290.3,298.40000000000003,310.6,328.20000000000005,352.3,382.4,416.7000000000001,451.5,483.2000000000001,509.4,529.3000000000001,543.5,553.1,559.4,563.5,566.1,569.0,569.9000000000001,570.2,570.3000000000001,570.3000000000001,570.3000000000001,570.3000000000001,570.3000000000001,570.3000000000001,570.3000000000001,280.20000000000005,282.6,286.3,292.3,301.5,315.3,335.3,362.9,398.7000000000001,442.1,491.6,544.9,599.9000000000001,654.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,63.89042517131523,45.7357142857143,,,,
